Time,Direction,Speed,Steering,IR-v1,IR-v2,IR-v3,IR-v4,IR-v5
0.19,0,0,90,7,9,9,8,5
0.2,1,30,90,7,9,9,8,5
0.31,1,30,135,8,8,9,8,5
0.42,1,30,135,7,8,9,8,5
0.52,1,30,135,7,8,9,9,5
0.63,1,30,135,7,9,9,8,3
0.74,1,30,135,7,9,9,8,5
0.85,1,30,135,7,9,9,8,5
1.07,1,30,90,7,9,9,8,5
1.28,1,30,135,7,9,9,8,5
1.39,1,30,135,7,8,9,8,5
1.49,1,30,135,6,8,9,9,5
1.6,1,30,135,7,9,9,9,5
1.71,1,30,135,7,8,9,8,5
1.82,1,30,135,7,8,9,8,5
1.92,1,30,135,7,8,9,8,5
2.03,1,30,135,7,9,9,8,5
2.14,1,30,135,6,9,9,8,5
2.25,1,30,135,7,8,9,8,5
2.45,1,30,90,4,9,9,8,5
2.66,1,30,135,7,8,9,8,5
2.77,1,30,135,6,8,9,8,5
2.88,1,30,135,7,9,9,8,6
2.98,1,30,135,6,8,9,8,5
3.19,1,30,90,7,8,9,9,5
3.4,1,30,135,7,9,9,8,5
3.52,1,30,135,7,9,9,8,5
3.63,1,30,135,7,9,9,8,5
3.73,1,30,135,6,9,9,8,5
3.84,1,30,135,7,9,9,8,5
3.95,1,30,135,7,8,9,8,5
4.05,1,30,135,7,9,9,8,5
4.16,1,30,135,7,9,9,9,5
4.27,1,30,135,7,9,9,8,5
4.37,1,30,135,7,9,9,8,5
4.48,1,30,135,6,9,9,8,5
4.59,1,30,135,7,8,9,8,5
4.69,1,30,135,7,8,9,8,5
4.8,1,30,135,7,8,9,8,5
4.91,1,30,135,7,9,9,8,5
5.01,1,30,135,7,8,9,8,5
5.12,1,30,135,7,8,9,9,5
5.33,1,30,90,7,9,9,8,5
5.54,1,30,135,7,8,9,8,5
5.65,1,30,135,7,8,9,9,5
5.78,1,30,135,7,8,9,8,5
5.91,1,30,135,7,8,9,9,5
6.02,1,30,135,7,9,9,9,5
6.13,1,30,135,7,8,9,8,5
6.23,1,30,135,6,8,9,8,5
6.44,1,30,90,7,8,9,8,5
6.55,1,30,90,7,8,9,8,5
6.76,1,30,135,7,8,9,8,5
6.86,1,30,135,7,9,9,8,5
6.97,1,30,135,7,8,9,8,5
7.08,1,30,135,7,9,9,9,5
7.18,1,30,135,7,8,9,8,5
7.29,1,30,135,7,9,9,8,5
7.4,1,30,135,7,9,9,8,6
7.6,1,30,90,9,9,9,8,5
7.81,1,30,135,6,9,9,8,5
7.92,1,30,135,7,8,9,8,5
8.13,1,30,90,7,9,9,9,5
8.35,1,30,135,7,9,9,8,5
8.46,1,30,135,7,8,9,8,5
8.57,1,30,135,7,8,9,8,5
8.68,1,30,135,7,9,9,8,5
8.79,1,30,135,7,9,9,8,5
8.89,1,30,135,4,8,9,9,5
9.0,1,30,135,7,9,9,9,5
9.11,1,30,135,7,8,9,8,5
9.32,1,30,90,7,8,9,9,5
9.43,1,30,90,7,8,9,9,5
9.63,1,30,135,7,8,9,8,5
9.74,1,30,135,7,8,9,8,5
9.85,1,30,135,6,8,9,8,5
9.95,1,30,135,7,9,9,8,4
10.06,1,30,135,7,8,9,8,5
10.17,1,30,135,7,9,9,8,5
10.28,1,30,135,7,9,9,8,5
10.38,1,30,135,7,9,9,8,4
10.49,1,30,135,7,9,9,8,5
10.6,1,30,135,7,8,9,9,5
10.7,1,30,135,7,9,9,8,5
10.81,1,30,135,5,9,9,8,5
11.02,1,30,90,6,9,9,8,5
11.23,1,30,135,7,9,9,8,5
11.34,1,30,135,7,9,9,8,5
11.44,1,30,135,7,9,9,8,5
11.55,1,30,135,7,9,9,8,5
11.66,1,30,135,7,8,9,8,5
11.76,1,30,135,7,9,9,8,5
11.87,1,30,135,6,8,9,8,5
11.98,1,30,135,4,9,9,8,5
12.19,1,30,45,7,8,9,8,5
12.19,-1,-30,45,7,9,9,8,5
12.3,-1,-30,90,7,8,9,8,5
12.3,-1,-30,90,6,8,9,8,5
13.21,-1,-30,90,6,9,9,8,5
13.22,1,30,90,7,9,9,8,5
13.23,1,30,90,7,8,9,8,5
13.45,1,30,135,7,8,9,9,5
13.55,1,30,135,7,9,9,8,5
13.76,1,30,90,7,8,9,8,5
13.97,1,30,135,7,8,9,8,5
14.08,1,30,135,7,9,9,8,5
14.18,1,30,135,7,9,9,9,5
14.29,1,30,135,7,9,9,9,5
14.4,1,30,135,7,8,9,9,5
14.51,1,30,135,6,9,9,9,5
14.61,1,30,135,7,9,9,8,5
14.72,1,30,135,7,9,9,9,5
14.83,1,30,135,6,9,9,8,5
14.94,1,30,135,7,9,9,8,5
15.05,1,30,135,7,8,9,8,5
15.15,1,30,135,7,9,9,8,5
15.26,1,30,135,7,9,9,9,5
15.37,1,30,135,7,9,9,9,5
15.49,1,30,135,7,9,9,9,5
15.6,1,30,135,7,9,9,8,5
15.71,1,30,135,7,9,9,9,5
15.82,1,30,135,7,9,9,9,5
15.93,1,30,135,7,8,9,8,5
16.04,1,30,135,7,9,9,8,5
16.15,1,30,135,7,9,9,8,5
16.25,1,30,135,7,9,9,8,5
16.46,1,30,90,7,9,9,8,5
16.67,1,30,135,7,8,9,9,5
16.88,1,30,45,7,9,9,8,5
16.89,-1,-30,45,7,8,9,8,5
16.99,-1,-30,90,7,9,9,9,5
17.0,-1,-30,90,7,9,9,8,5
17.4,-1,-30,90,7,8,9,9,5
17.41,1,30,90,8,9,9,8,5
17.42,1,30,90,9,9,9,8,5
17.62,1,30,135,7,8,9,9,5
17.73,1,30,135,7,9,9,8,5
17.84,1,30,135,7,9,9,8,5
17.94,1,30,135,7,8,9,8,5
18.16,1,30,90,7,9,9,8,5
18.39,1,30,135,7,9,9,8,5
18.5,1,30,135,7,8,9,8,5
18.6,1,30,135,7,8,9,8,5
18.71,1,30,135,7,9,9,8,5
18.82,1,30,135,7,9,9,9,5
19.03,1,30,90,7,9,9,9,5
19.23,1,30,135,7,9,9,9,5
19.44,1,30,90,7,8,9,9,5
19.65,1,30,135,7,8,9,8,5
19.76,1,30,135,7,8,9,9,5
19.87,1,30,135,7,8,9,8,5
19.97,1,30,135,4,9,9,9,5
20.08,1,30,135,7,9,9,8,5
20.29,1,30,90,7,9,9,9,5
20.5,1,30,135,7,9,9,8,5
20.61,1,30,135,7,9,9,8,5
20.82,1,30,90,7,9,9,8,5
21.04,1,30,135,7,9,9,8,5
21.17,1,30,135,7,8,9,9,5
21.28,1,30,135,7,8,9,8,5
21.38,1,30,135,8,9,9,8,5
21.49,1,30,135,6,9,9,9,5
21.6,1,30,135,6,8,9,8,5
21.7,1,30,135,7,9,9,8,5
21.81,1,30,135,7,8,9,8,5
21.92,1,30,135,7,9,8,8,5
22.02,1,30,135,7,9,9,8,5
22.23,1,30,90,7,8,9,9,5
22.44,1,30,135,7,8,9,8,5
22.55,1,30,135,7,8,9,8,5
22.65,1,30,135,7,8,9,8,5
22.86,1,30,90,6,9,9,8,5
23.08,1,30,135,7,8,9,8,5
23.19,1,30,135,7,9,9,8,5
23.3,1,30,135,7,9,9,8,5
23.41,1,30,135,7,9,9,8,5
23.52,1,30,135,7,8,9,8,5
23.62,1,30,135,7,9,9,8,5
23.73,1,30,135,7,9,9,8,5
23.84,1,30,135,7,9,9,8,5
23.95,1,30,135,7,9,9,8,5
24.05,1,30,135,7,8,9,8,5
24.16,1,30,135,7,8,9,8,5
24.37,1,30,90,7,8,9,8,5
24.47,1,30,90,7,8,9,9,5
24.58,1,30,90,7,8,9,9,5
24.59,0,0,90,6,8,9,8,4
